,avg_n,avg_p,count_n,count_p,max_n,max_p,min_n,min_p,phi_avg_n,phi_avg_p,phi_count_n,phi_count_p,phi_max_n,phi_max_p,phi_min_n,phi_min_p,phi_n,phi_p,phi_pos_n,phi_pos_p,phi_sum_n,phi_sum_p,sum_n,sum_p
18,11.9563585794,10.5827360268,10.0,15.0,17.3553445001,13.9978346973,10.131700453,9.61313960364,0.583930937559,0.679041625514,0.698168767507,0.479074551603,0.402278829731,0.513373563086,0.689093376522,0.747530834913,6.98168767507,7.18611827405,85.8868193642,75.3972368714,0.0583930937559,0.0452694417009,119.563585794,158.741040403
19,19.0184263126,17.8394724343,6.0,19.0,24.1327166383,23.4565871914,16.6057846654,16.307134639,0.147917490569,0.756543824339,0.468859649123,0.710333826297,0.116570294878,0.575375377054,0.169408308697,0.827634222589,2.81315789474,13.4963426996,58.1826831116,238.624257072,0.0246529150948,0.0398180960178,114.110557876,338.949976252
20,12.0741327297,10.0338367301,2.0,23.0,12.6347265362,13.9978346973,11.5135389233,9.23959698552,0.0966252974672,1.89705601388,0.583333333333,0.827597839616,0.0923381019231,1.35983534045,0.101329979813,2.06012776758,1.16666666667,19.0347503112,13.9930558836,191.111621832,0.0483126487336,0.0824806962558,24.1482654594,230.778244792
21,15.2884352164,15.0990670512,14.0,11.0,22.4003648108,16.4127263905,13.0483785637,13.186541591,0.561073793361,0.370012710667,0.612710024385,0.507895157105,0.382937528646,0.340397237804,0.657395116147,0.423677936297,8.57794034139,5.58684672815,138.582941816,84.0292052137,0.0400766995258,0.0336375191515,214.038093029,166.089737563
22,28.8865389806,27.6786755451,8.0,17.0,32.4977873921,32.2813381511,24.0325719083,24.0325719083,0.144351776969,0.379705043601,0.52122790404,0.618219570863,0.128310988745,0.325566823019,0.173507157213,0.437312025727,4.16982323232,10.5097327047,123.388835311,289.139848706,0.0180439721211,0.0223355908001,231.092311845,470.537484266
23,14.9757433932,16.58866965,7.0,18.0,17.0763923082,19.1917173024,14.4396646785,14.3438254333,0.0921222298554,1.00967912232,0.197085553589,0.930512967377,0.0807898325493,0.872732395381,0.095542306961,1.16769640642,1.37959887512,16.7492334128,20.4159046753,279.299724095,0.0131603185508,0.0560932845736,104.830203752,298.596053701
24,12.9285389545,13.0005386963,14.0,11.0,15.0888382955,14.521737241,12.2700184867,12.2700184867,0.663424617345,0.407385806483,0.612650786339,0.481475903775,0.568440779919,0.364710836839,0.699029998855,0.431640339193,8.57711100875,5.29623494153,111.862661216,69.1994707564,0.0473874726675,0.0370350733167,180.999545364,143.00592566
25,20.349331066,21.6399406905,14.0,11.0,22.2639475676,24.364134763,18.9746113084,19.0381997061,0.299671071675,0.401361426499,0.435578989171,0.789585224082,0.273900476538,0.356484543751,0.321382385615,0.456211070321,6.0981058484,8.6854374649,122.83771148,190.945635285,0.0214050765482,0.036487402409,284.890634924,238.039347596
26,15.0716056645,15.4511111509,11.0,14.0,20.8162999226,19.3175750648,13.0727625415,13.1702987889,0.323827252271,0.605072194894,0.443690604514,0.66778840983,0.234460334824,0.483965389354,0.373340878345,0.709857679576,4.88059664965,9.34903773762,76.7287494089,144.562351678,0.0294388411155,0.0432194424924,165.78766231,216.315556113
27,13.8130821504,13.6729213701,9.0,16.0,15.8265050176,15.3633844238,12.3217351591,12.4945544895,0.34816014788,0.715098889059,0.534351636018,0.611093180121,0.303867766056,0.636415168182,0.390299309478,0.782540177013,4.80916472416,9.77749088194,68.712237201,132.86307636,0.0386844608755,0.0446936805662,124.317739354,218.766741921
28,15.3123483606,15.0738877979,7.0,18.0,17.2815579746,18.1603662928,13.3513230834,13.4224995788,0.15839107138,0.885888985527,0.346477037455,0.741877287182,0.140342628005,0.735326091664,0.181655349589,0.994881101755,2.42533926219,13.3537911693,37.7648368214,202.156413748,0.0226272959114,0.0492160547515,107.186438524,271.329980363
29,15.6363717475,15.5262324408,8.0,17.0,17.8015712287,18.7896574667,14.6579028125,14.4165338749,0.211452727261,0.741245831808,0.413294181309,0.676985592966,0.185733798887,0.612504783594,0.22556797468,0.79830250324,3.30635345047,11.5087550804,52.0575315465,179.978801434,0.0264315909076,0.0436026959887,125.09097398,263.945951493
